Judul,Sub Judul,No. ISBN,Penulis,Jumlah Halaman,Berat Buku,Jenis Cover,Isi,Dimensi (L x P),Harga,Deskripsi,URL,Thumbnail URL
Pengkhotbah,STOCK KOSONG, 979-8976-84-3,Derek Kidner,124 halaman,150 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 0,"Buku ini padat dengan uraian segar. Tentang pemahaman akan amanat dan relevansi Firman Allah untuk masa kini.
Gaya penalarannya khas. Menyentuh nalar intelek­tual maupun emosional. Mengantar sidang pembaca ke tempat berpijak abadi, untuk menikmati kebahagiaan setiap detik sepanjang hidup.
Buku ini juga bicara tentang makna hakiki di ba­lik kesia-siaan. Bicara tentang politik—bahkan politik praktis. Tentang masalah-masalah kekinian dalam suatu dunia yang banyak tuntutannya, sementara kesia-siaan senyum mengejek di baliknya.
Gambaran penguasa yang tidak punya harkat maupun hikmat disajikan mencolok—dikelilingi oleh orang-orang berakhlak bobrok.
Gambaran nyata yang menantang dan memacu kita mawas diri. Mengenali harkat diri sendiri—sekaligus melihat nyata ”keakanan” yang pasti di balik kesia-siaan dalam kehidupan kini.",http://www.penerbitbinakasih.com/132-buku-pengkhotbah.html,http://www.penerbitbinakasih.com/images/products/product_132.jpg
Efesus,Mewujudkan Masyarakat Baru di Dalam dan Melalui Yesus Kristus,979-9143-68-3,John R.W. Stott,274 halaman,300 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 40.000,"Surat Efesus begitu mempesona. Seorang komentator menyebutnya sebagai ‘’ratu dari surat-surat rasuli”. Itu tidak berlebihan. Dalam surat ini Paulus menjelaskan tentang keselamatan manusia dari kuasa dosa, dan mengungkapkan tujuan Allah yang kekal, yaitu menciptakan masyarakat baru di dalam dan melalui Yesus Kristus.
Masyarakat baru ini diwujudkan bukan dengan merombak struktur sosial ekonomi secara eksploitatif, melainkan dengan memulihkan hubungan antara manusia dan Tuhan melalui penebusan Yesus Kristus.
Itu sebabnya orang Kristen harus menjadi pelopor dalam pembaruan hubungan seperti itu baik dalam hubungan antarkelompok; dalam keluarga, antara orangtua-anak, suami-istri; antara buruh dan majikan, maupun hubungan lainnya.
Semua itu sangat relevan dengan situasi Indonesia saat ini. Tapi, bagaimana kepeloporan dan pembaruan itu seharusnya dilakukan? Jawabannya terpapar jelas dalam buku ini.",http://www.penerbitbinakasih.com/133-buku-efesus.html,http://www.penerbitbinakasih.com/images/products/product_133.jpg
Rut,Kasih Karunia Allah Merasuki Kita untuk Tekun Bekerja Melayani Sesama,979-9143-35-7,David Atkinson,184 halaman,210 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 30.000,"Kisah Kitab Rut anggun dan menyenangkan. Goethe menyebutnya: ”Karya lengkap paling cantik dalam skala kecil. Diturunkan kepada kita sebagai karya etis penuh keindahan.” Pakar lain menulis, ”Tidak ada penyair di dunia yang menulis cerita pendek yang lebih indah.”
Kitab ini berkisah tentang orang-orang biasa menghadapi kejadian yang sangat biasa. Kita bertemu tokoh Naomi yang menderita kelaparan, kehilangan orang-orang yang dikasihinya, tapi akhirnya memperoleh kedamaian dan keamanan. Kita bertemu Rut, wanita asing yang masih muda, asal Moab. Ia mengikatkan diri kepada ibu mertuanya, Naomi, dan kepada Allah. Dan kita bertemu dengan Boas. Ia mengawini Rut memenuhi maksud Allah untuk sejarah. Raja Daud dan Yesus adalah keturunan mereka.
Secara teologis kisah Rut adalah kisah tentang pemeliharaan Allah. Ini diurai jelas dalam buku ini.",http://www.penerbitbinakasih.com/136-buku-rut.html,http://www.penerbitbinakasih.com/images/products/product_136.jpg
Hosea,Kasih Setia Tetap Teguh Kendati Pengkhianatan Tak Terperikan,979-9143-48-9,Derek Kidner,178 halaman,200 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 30.000,"Tuhan memerintahkan Nabi Hosea menikahi Gomer—perempuan sundal. Hosea patuh. Mereka menikah dan memperoleh tiga anak.
Tapi sang istri menyeleweng. Berulang kali. Kendati demikian, Tuhan mengharuskan lagi Hosea menikahi perempuan sundal itu.
Tidak masuk akal. Sungguh—tidak masuk akal! Dan aneh, Hosea pasrah mematuhi perintah Allah.
Inilah yang menggelitik kita. Menggugah kita saat menyimak peristiwa riil dalam sejarah kehidupan umat manusia—di mana kita sendiri terhisab di dalamnya.
Buku ini sarat rahasia. Jadi, mengamati rahasia hidup riil itu, bahkan mengamati misteri kehidupan Hosea—kita ditopang untuk mensyukuri kedaulatan Ilahi—yang serba paradoks.",http://www.penerbitbinakasih.com/137-buku-hosea.html,http://www.penerbitbinakasih.com/images/products/product_137.jpg
Daniel,STOCK KOSONG,978-602-8009-24-9,Ronald S. Wallace,292 halaman,320 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 0,"Peristiwa tiga orang berjalan dalam perapian, Daniel di kandang singa, dan tulisan aneh di tembok yang mengguncang hati Raja Babel, telah dikenal orang. Namun, pesan kuat di balik semua peristiwa itu penting disimak: Allah adalah Raja yang berdaulat atas kehidupan ini.
Kendati di bawah kepemimpinan raja yang tidak mengenal Tuhan dan janji Tuhan seolah sirna, umat-Nya justru tetap wajib mengejar kebaikan, setia ke­pada Firman Tuhan, beribadah teratur, sudi berparti­sipasi dalam dunia politik bahkan menerima jabatan tinggi—bila ditawarkan. Dosa dan ketidakadilan me­mang bisa menekan hidup, namun kasih, belas kasihan, dan pertolongan Tuhan tetap bersemi—bersemarak dalam kehidupan umat-Nya.
Bercermin pada pengalaman Daniel dan umat Tuhan, kita perlu selalu optimis dan bijaksana dalam pengharapan kita akan reformasi sosial dan politik bangsa, bahkan gereja. Sebab Allah, Raja yang ber­daulat, bekerja mendatangkan kebaikan bagi umat-Nya.
Justru buku ini penting dibaca oleh setiap orang yang rindu menjadi pelaku Firman yang adil dan penuh kasih, kendati situasi negara, juga gereja kita, pasif dan keruh.",http://www.penerbitbinakasih.com/139-buku-daniel.html,http://www.penerbitbinakasih.com/images/products/product_139.jpg
Kejadian 1-11,Kejadian Mendukung Bertumbuhnya Sains Modern,979-9143-37-3,David Atkinson,240 halaman,270 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 40.000,"Di balik alam semesta ada akal budi. Itulah yang menciptakan keteraturan dunia maupun proses berpikir manusia.
Justru banyak ilmuwan piawai berubah menjadi mempercayai Ilahi. Sebab pada akhirnya mereka menyadari, dunia ini dapat dimengerti oleh akal budi manusia. Penjelasan tentang alama semesta dapat dijumpai dalam kategori-kategori yang logis, bukan hanya dalam materi saja.
Mengapa sains berhasil?
Keberhasilannya merujuk kepada adanya prinsip rasional dalam alam semesta. Dapat dimengerti oleh akal budi manusia sehingga jelas alam semesta bergantung pertama-tama pada akal budi. Dan pemikiran yang menghargai sains harus mulai dari prinsip ini—seperti dituturkan jelas dalam buku ini.",http://www.penerbitbinakasih.com/140-buku-kejadian-1-11.html,http://www.penerbitbinakasih.com/images/products/product_140.jpg
Yeremia,Teladan Iman di Tengah Kekacauan Kehidupan Modern,979-9143-47-0,Derek Kidner,242 halaman,270 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 38.000,"Israel murtad. Hidup dalam kejahatan dan kebobrokan moral. Nabi-nabi palsu bermunculan. Politik kacau-balau. Pemujaan berhala dan ilmu hitam merajalela. Pembunuhan menjadi lumrah.
Tapi, apakah kenyataan demikian aneh bagi kita? Atau, sebaliknya! Kita akan termangu-mangu, karena justru persis kenyataan demikianlah sedang kita alami. Kini di Indonesia ini.
Membaca buku ini sama dengan menyaksikan sendiri peristiwa itu.
Dampaknya?
Anda tentu akan bersyukur. Sebab, buku ini membekali Anda nalar dan kebijakan bahkan kemampuan, untuk setia kepada yang Ilahi dan sesama.",http://www.penerbitbinakasih.com/141-buku-yeremia.html,http://www.penerbitbinakasih.com/images/products/product_141.jpg
Persekutuan Dalam Penderitaan Yesus,-,979-9143-27-6,Leatha Humes,32 halaman,50 gram,soft cover,HVS 70,15x24 cm, Rp. 5.000,"Sejarah mencatat gereja dirusak. Dibakar! Berulang-ulang kali. Umat-Nya diserang. Dianiaya, bahkan dibunuh.
Tapi fakta mencolok nyata. Gereja tak sirna. Tak punah. Umat-Nya pasrah. Berserah diri pada kasih Ilahi.
Peristiwa-peristiwa itu dituturkan dalam buku ini. Sangat sadis. Memang! Tapi membaca buku ini pembaca akan terharu. Menyaksikan heroisme para korban kesadisan itu. Bahkan akan termangu-mangu. Mendapat tahu bahwa Tuhan bekerja.
Peristiwa-peristiwa sadis itu mungkin saja menimpa kita. Justru kita perlu mempersiapkan diri. Dengan membaca buku ini.
Buku ini menceritakan sejarah gereja selama 20 abad. Memuat riwayat ke-12 murid Yesus menurut tradisi gereja. Seri ini merupakan lanjutan seri komik Alkitab.",http://www.penerbitbinakasih.com/127-buku-persekutuan-dalam-penderitaan-yesus-.html,http://www.penerbitbinakasih.com/images/products/product_127.jpg
Elia Sang Reformator,STOCK KOSONG,979-9143-23-3,M.B. Dainton,140 halaman,120 gram,soft cover,HVS 70,13x18 cm, Rp. 20.000,"Sendirian, Elia bangkit melancarkan reformasi nasional. Karena raja dan pemerintah Israel sungguh bobrok. Penguasa sewenang-wenang dan hak asasi manusia tidak dihargai. Terhadap semua kebobrokan itu agama bungkam!
Mereka justru menjilat penguasa, membenarkan kebobrokan itu. Akibatnya reformasi Elia sangat berbahaya. Sulit dan berliku. Membutuhkan keberanian dan pengorbanan.
Keyakinan Elia benar-benar diuji. Perjuangan Elia inspiratif.
Relevan dengan konteks Indonesia dewasa ini. Menggugah kita mempertanyakan apa kewajiban kita di tengah-tengah ketidakberesan yang terjadi di sekitar kita? Bagaimana seharusnya kita berpartisipasi pada era reformasi ini…?",http://www.penerbitbinakasih.com/129-buku-elia-sang-reformator-.html,http://www.penerbitbinakasih.com/images/products/product_129.jpg
Corak Watak Manusia dalam Alkitab,Renungan 366 peristiwa di sekitar 250 tokoh Alkitab,978-602-8009- 54-6,Harry Foster,378 halaman,450 gram,soft cover,HVS 70,"14,5x21 cm", Rp. 80.000,"Character Building—istilah asing yang kembali naik daun dalam dunia pendidikan—menjadi salah satu kunci penentu martabat manusia. Bagaimana campur tangan Allah dalam hal ini?
Buku ini menyorot lebih dari 250 pribadi dalam 366 peristiwa dalam Alkitab. Kaya dan tajam! Memperlihatkan kedaulatan Allah dalam pembentukan pribadi manusia.Setiap hari—satu per satu, selama setahun dari Abner hingga Zipora—corak watak berbagai manusia dalam Alkitab dibeberkan. Menjadi cermin bagi pembaca yang memacu perilaku rohani baru. 
Amanat kristiani berbobot disajikan dalam bahasa sederhana. Menjadikan bahan renungan ini pantas untuk segala usia—dari remaja hingga lanjut usia. Bahkan untuk segala kalangan—juga bagi mereka yang belum percaya. Semua dapat menimba pesan ilahi: nilai-nilai luhur dalam membangun karakter manusia.",http://www.penerbitbinakasih.com/219-buku-corak-watak-manusia-dalam-alkitab.html,http://www.penerbitbinakasih.com/images/products/product_219.jpg
Tanya Jawab Tentang Iman Kristen,"Ramai dibicarakan di kalangan awam, intelektual, dan ilmuwan",979-9143-39-X,Derek Prime,288 halaman,270 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 42.000,"Sangat Berguna Untuk:
·         Orang yang setelah mempelajari kekristenan ingin mengetahui jelas kepercayaan Kristen.
·         Orang yang baru menjadi Kristen dan ingin secepat mungkin mengerti jelas dasar keyakinan Kristen.
·         Orang yang telah beberapa tahun Kristen tapi belum mengerti ajaran Kristen dan ingin mengubah keadaan itu.
·         Orang yang ingin memiliki buku petunjuk yang dapat memberikan jawaban yang tepat tentang iman Kristen.
·         Orang yang ingin mengikuti kelompok penelitian Kristen.",http://www.penerbitbinakasih.com/79-buku-tanya-jawab-tentang-iman-kristen-.html,http://www.penerbitbinakasih.com/images/products/product_79.jpg
Sungguh Merekalah Umat-Ku,Proses pengadilan perkara hak milik atas semua bangsa di dunia dalam Kisah para Rasul,978-602-8009-41-6,C. van den Berg,432 halaman,500 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 60.000,"Kisah Para Rasul senantiasa menyentuh hati setiap pembaca dan menyadarkan akan tugasnya--juga tugas Gereja pada umumnya--untuk menyaksikan Injil Yesus Kristus kepada segala makhluk.
 
Kisah Para Rasul merupakan laporan awal pelaksanaan tugas itu sekaligus pedoman pelaksanaan perintah Kristus Raja yang telah bangkit dari antara orang mati, naik ke surga, dan duduk di sebelah kanan Allah Bapa.
 
Kisah Para Rasul menunjukkan bahwa pemberitaan Injil terjadi dalam suatu rangkaian proses pengadilan perkara hak milik atas semua bangsa di dunia. Melalui pemberitaan Injil, Tuhan memenangkan kembali milik-Nya dari kuasa Iblis, sehingga semua orang, yang ditentukan Allah untuk hidup yang kekal, menjadi percaya.
 
Dengan dilengkapi wacana di setiap bagian, yang sangat berguna dalam kelompok pemahaman Alkitab, tafsiran ringkas ini  menjadi sungguh praktis dan menantang kita dalam menunaikan perintah yang tidak berubah dari Penguasa Semesta di dunia yang terus berubah.",http://www.penerbitbinakasih.com/120-buku-sungguh-merekalah-umat-ku-.html,http://www.penerbitbinakasih.com/images/products/product_120.jpg
Mini Konkordansi,-,978-979-8976-02-5,D.M. Miller,72 halaman,70 gram,,HVS 70,13x18 cm, Rp. 22.000,"Mini Konkordansi yang sederhana dan praktis ini masih dibutuhkan umat Kristen, bahkan di zaman gadget modern. Ajaran-ajaran pokok Alkitab disusun begitu rupa - memuat 500 topik lengkap - sehingga kita dapat menemukan suatu ayat, dan melihat hubungannya dengan ayat lainnya pada topik tertentu.",http://www.penerbitbinakasih.com/124-buku-mini-konkordansi-.html,http://www.penerbitbinakasih.com/images/products/product_124.jpg
Peta Alkitab,Panduan untuk memahami lebih jelas peristiwa-peristiwa Alkitab,979-8976-97-5,Simon Jenkins,132 halaman,100 gram,soft cover,"penuh warna, HVS 100","14,5x21  cm", Rp. 56.000,"Peta Alkitab menyajikan nama-nama diri, tempat-tempat, bahkan pertempuran-pertempuran seperti diceritakan dalam Alkitab, secara rinci dengan penuh arti.
·         Kecanggihan kreasi lukis komputer menempatkan kita di jantung pusat peristiwa di medan pertempuran.
·         Peristiwa demi peristiwa disajikan sesuai urutannya dalam Alkitab.
·         Satu peta untuk satu peristiwa memudahkan peristiwa itu dipahami.
·         Catatan-catatan ringkas memungkinkan kita dapat cepat mengetahui informasi penting.
·         Mencakup semua wawasan Alkitab.",http://www.penerbitbinakasih.com/125-buku-peta-alkitab-.html,http://www.penerbitbinakasih.com/images/products/product_125.jpg
Sepanjang Tahun Menelusuri Alkitab,Refleksi Harian dari Kitab Kejadian hingga Wahyu,978-602-8009-26-3,John R.W. Stott,428 halaman,650 gram,soft cover,HVS 70,15x23 cm, Rp. 98.000,"Ratusan buku refleksi telah diterbitkan, namun hanya satu buku yang memadukan kanon Alkitab dan kalender gereja. Buku Sepanjang Tahun Menelusuri Alkitab, selama 52 minggu, menggali seluruh kisah penting Alkitab mulai awal zaman di Kitab Kejadian hingga akhir zaman di Kitab Wahyu.
 


Penulisnya, Dr. John Stott—pengajar Alkitab kelas dunia—memilih selektif bagian Alkitab sebagai bacaan setiap hari lalu melengkapinya dengan pengajaran pokok iman Kristen, perayaan gerejawi dan informasi terkini, disertai refleksi segar di sepanjang tahun.




Justru buku ini bermanfaat lebih dari sekadar bahan refleksi atau renungan. Akan memperlengkapi pembacanya dengan uraian menyegarkan sekaligus meneguhkan iman, juga mengasah nalar alkitabiah menghadapi isu-isu gereja dan dunia. Sangat cocok bagi pelayan Firman dan setiap orang yang ingin menjadi bentara Kristus sejati, lagi terampil dalam berkarya.",http://www.penerbitbinakasih.com/126-buku-sepanjang-tahun-menelusuri-alkitab-.html,http://www.penerbitbinakasih.com/images/products/product_126.jpg
Manusia dan Peradaban dalam Alkitab,--,978-602-8009-66-9,Lois Rock,68 halaman,500 gram,hard cover,MP 125,20x24 cm, Rp. 92.000,"Mari menelusuri sejarah perkembangan manusia dan peradaban dalam Alkitab!
Ada begitu banyak pertanyaan seputar mengapa dunia ada dan apa makna kehidupan. Jawabannya dapat kita gali melalui kumpulan tulisan yang berasal dari Timur Dekat kuno yang diterima sebagai tulisan-tulisan suci, sekaligus jendela masa silam yang menakjubkan. Lalu bagaimana kita mengetahui sejarah perkembangan manusia dan peradaban? 
Alkitab mengisahkan bagaimana umat Israel membangun rumah di Kanaan dan kota besar Yerusalem. Kisah mereka terungkap dalam latar belakang peradaban kuno lainnya, seperti Mesir, Asyur, Babilonia, dan Romawi.",http://www.penerbitbinakasih.com/217-buku-manusia-dan-peradaban-dalam-alkitab.html,http://www.penerbitbinakasih.com/images/products/product_217.jpg
Menabur Firman,Mengomunikasikan Firman Allah secara Tepat dan Relevan,978-602-8009-89-8,Pauline Hoggarth,236 halaman,280 gram,soft cover,HVS 70,15 x 23 cm, Rp. 65.000,"Firman Allah begitu hidup dan kuat! Ia menyinari hati yang gelap, membebaskan yang tertindas, serta menaklukkan pemberontak yang menolak Allah.
 
Menurut Yesus, firman Allah bagai benih yang ditaburkan ke tanah. Sekalipun kualitas benih itu unggul, pertumbuhannya tergantung kualitas tanahnya. Mampukah firman Allah menembus berbagai jenis tembok pembatas berupa adat, kebiasaan, tradisi, dan keyakinan yang kukuh di zaman yang serbakompleks ini?
 
Pauline Hoggarth menyajikan pelbagai kasus bagaimana firman Allah ditaburkan dan hasilnya di Asia, Afrika, Amerika Latin maupun negara-negara Barat sejak dahulu hingga zaman Alkitab digital ini. Reaksi
’tanah’nya sangat bervariasi. Banyak yang menerima dengan hati terbuka. Namun, ada pula yang meremehkan, menganggapnya tidak relevan, menolaknya, bahkan ada yang menyalahgunakannya untuk menindas sesama!
 
Topik-topik penting yang diangkat dalam buku ini:

Kuasa transformatif firman Allah, relevansi dan wibawanya.
Ragam penafsiran Alkitab dan sejarah singkatnya.
Kontroversi firman Allah: perang, perempuan, dan homoseksualitas.
Persentuhan firman Allah dengan kitab suci lainnya.
Firman Allah di mata anak belia.
Firman Allah (Alkitab) dalam sejarah perkembangan gereja.
Firman Allah yang menjadi manusia.

Menabur Firman akan memperbarui interaksi kita dengan firman Allah, memurnikan motivasi dalam menaburkannya di tengah masyarakat, gereja, dan hati kita sendiri.",http://www.penerbitbinakasih.com/250-buku-menabur-firman.html,http://www.penerbitbinakasih.com/images/products/product_250.jpg
Kitab Suci untuk Kita,STOCK KOSONG,978-602-8009-03-4,Henk Venema,192 halaman,250 gram,Soft cover,Hvs 70 gram,"14,5 x 21 cm cm", Rp. 45.000,"Buku ini bertolak dari pengakuan bahwa Allah adalah Penulis Pertama (Auctor Primarius) Alkitab. Karena itu Alkitab harus ditafsirkan bukan sesuai kehendak penafsir, melainkan kehendak Penulisnya sendiri, yaitu Allah. Tiap kata atau kalimat memperoleh maknanya dalam konteks Alkitab sebagai sebuah totalitas yang berpusat pada Kristus. Inilah penafsiran alkitabiah, yang menghasilkan pemahaman yang setia (kepada Alkitab), utuh (tidak menyimpang dari keseluruhan Alkitab) dan kontekstual (sesuai kondisi masa kini). Metode ini disebut Metode historis-kristologis.Peraturan-peraturan dan langkah-langkah penafsiran metode tersebut diuraikan dengan rinci dan gamblang: mulai dari penerjemahan teks, sintesis penafsiran hingga penyusunan materi pemberitaan/khotbah. Buku ini sangat sederhana, jelas, dan praktis.
Dilengkapi dengan contoh penerapan metode tersebut dengan menafsirkan Mazmur 128.",http://www.penerbitbinakasih.com/299-buku-kitab-suci-untuk-kita.html,http://www.penerbitbinakasih.com/images/products/product_299.jpg
Menggali Isi Alkitab 4,STOCK KOSONG,979-8976-19-3,J. Sidlow Baxter,244 halaman,290 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 52.000,"Dalam buku ini diberikan pelajaran praktis tentang isi Alkitab. Pelajaran itu disusun secara sitematis. Cara penyajiannya begitu rupa, sehingga pelajaran itu juga dapat digunakan sebagai bahan khotbah.
Asli dari buku ini ”EXPLORE THE BOOK” terdiri dari 6 jilid. Terjemahannya dalam bahasa Indonesia dipadatkan, sehingga menjadi 4 jilid. Jilid 1 dan 2 memuat pelajaran tentang Perjanjian Lama; jilid 3 dan 4 tentang Perjanjian Baru. Karena itu setiap pelajaran sangat padat. Tapi kejelasan dan kesegaran ajarannya tetap dipertahankan.",http://www.penerbitbinakasih.com/143-buku-menggali-isi-alkitab-4.html,http://www.penerbitbinakasih.com/images/products/product_143.jpg
Menggali Isi Alkitab 3,STOCK KOSONG,979-8976-18-5,J. Sidlow Baxter,306 halaman,350 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 60.000,"Dalam buku ini diberikan pelajaran praktis tentang isi Alkitab. Pelajaran itu disusun secara sitematis. Cara penyajiannya begitu rupa, sehingga pelajaran itu juga dapat digunakan sebagai bahan khotbah.
Asli dari buku ini ”EXPLORE THE BOOK” terdiri dari 6 jilid. Terjemahannya dalam bahasa Indonesia dipadatkan, sehingga menjadi 4 jilid. Jilid 1 dan 2 memuat pelajaran tentang Perjanjian Lama; jilid 3 dan 4 tentang Perjanjian Baru. Karena itu setiap pelajaran sangat padat. Tapi kejelasan dan kesegaran ajarannya tetap dipertahankan.",http://www.penerbitbinakasih.com/144-buku-menggali-isi-alkitab-3.html,http://www.penerbitbinakasih.com/images/products/product_144.jpg
Menggali Isi Alkitab 2,Kitab Ayub sampai dengan Maleakhi,979-8976-17-7,J. Sidlow Baxter,552 halaman,600 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 0,"Dalam buku ini diberikan pelajaran praktis tentang isi Alkitab. Pelajaran itu disusun secara sitematis. Cara penyajiannya begitu rupa, sehingga pelajaran itu juga dapat digunakan sebagai bahan khotbah.
Asli dari buku ini ”EXPLORE THE BOOK” terdiri dari 6 jilid. Terjemahannya dalam bahasa Indonesia dipadatkan, sehingga menjadi 4 jilid. Jilid 1 dan 2 memuat pelajaran tentang Perjanjian Lama; jilid 3 dan 4 tentang Perjanjian Baru. Karena itu setiap pelajaran sangat padat. Tapi kejelasan dan kesegaran ajarannya tetap dipertahankan.",http://www.penerbitbinakasih.com/145-buku-menggali-isi-alkitab-2.html,http://www.penerbitbinakasih.com/images/products/product_145.jpg
Menggali Isi Alkitab 1,STOCK KOSONG,979-8976-15-9,J. Sidlow Baxter,496 halaman,550 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 0,"Dalam buku ini diberikan pelajaran praktis tentang isi Alkitab. Pelajaran itu disusun secara sitematis. Cara penyajiannya begitu rupa, sehingga pelajaran itu juga dapat digunakan sebagai bahan khotbah.
Asli dari buku ini ”EXPLORE THE BOOK” terdiri dari 6 jilid. Terjemahannya dalam bahasa Indonesia dipadatkan, sehingga menjadi 4 jilid. Jilid 1 dan 2 memuat pelajaran tentang Perjanjian Lama; jilid 3 dan 4 tentang Perjanjian Baru. Karena itu setiap pelajaran sangat padat. Tapi kejelasan dan kesegaran ajarannya tetap dipertahankan.",http://www.penerbitbinakasih.com/146-buku-menggali-isi-alkitab-1.html,http://www.penerbitbinakasih.com/images/products/product_146.jpg
Rangkaian Visi Mutiara Kitab Yesaya,Penggenapan riil atas beberapa visi Yesaya dalam rentang sejarah dunia, 979-9143-64-0,Achim Teschner,192 halaman,140 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 30.000,"Yesaya mengecam keras para pemuka Israel. Karena mereka membanggakan ibadah lahiriah. Mengabaikan nasib rakyat. Dan mengingkari kedaulatan Allah atas politik dan ekonomi.
Yesaya tidak berhenti di situ. Dengan mata rohani yang jernih, ia menubuatkan rencana Allah untuk menyelamatkan Israel. Akan mengembalikan mereka dari pembuangan ke Yerusalem. Bahkan akan membuka peluang bagi segenap umat manusia untuk dapat kembali kepada-Nya.
Beberapa di antara nubuatnya itu telah terbukti sebagai realitas sejarah. Tapi bagaimana itu terjadi?
Penulis menyajikan jawaban atas pertanyaan itu dalam buku ini. Juga himbauannya, supaya kita berusaha memahami Alkitab dengan menalar peristiwa-peristiwa sejarah dunia.",http://www.penerbitbinakasih.com/121-buku-rangkaian-visi-mutiara-kitab-yesaya.html,http://www.penerbitbinakasih.com/images/products/product_121.jpg
Kamus Lambang dan Kiasan dalam Alkitab,edisi revisi,978-602-1009-01-6,W. Stuart Owen; P.A Grist; R. Dowling,128 halaman,150 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 38.000,"Dalam Alkitab, Allah menggunakan bahasa lambang untuk menjelaskan rencana-Nya bagi manusia. Dengan cara itu kita dapat mudah melihat kebenaran rohani.
Buku ini menguraikan jenis-jenis bahasa lambang dalam Alkitab. Misalnya: lambang, metafora, tipe, metonimia, simile, alegori. Dalam setiap bahasa lambang, kata memiliki makna yang berbeda. Misalnya, kata ”laut” dalam Yesaya 57:20 dan Wahyu 4:6. Karena itu, pengetahuan akan arti dan jenis bahasa lambang dalam Alkitab sangatlah penting.
Dengan memuata lebih 400 bahasa lambang, berikut arti ayat-ayat terkait dan jenis bahasa lambangnya, kehadiran buku ini penting dan patut disyukuri. Membekali Anda mendalami Firman Tuhan, untuk mengetahui kehendak Allah bagi Anda dan sesama.",http://www.penerbitbinakasih.com/123-buku-kamus-lambang-dan-kiasan-dalam-alkitab-.html,http://www.penerbitbinakasih.com/images/products/product_123.jpg
Kamus Ibrani - Indonesia,Perjanjian Lama,978-602-8009-78-2,Prof. Reinhard Achenbach,368 halaman,900 gram,hard cover,HVS 70,19x25 cm, Rp. 160.000,"Kamus ini mencakup lebih dari 8000 kata - lengkap dengan transliterasi, arti, dan kutipan nas dalam Alkitab.
Buku yang bermanfaat untuk meningkatkan kecakapan hamba Tuhan dalam berkhotbah dan mengajarkan kebenaran firman Allah.",http://www.penerbitbinakasih.com/229-buku-kamus-ibrani---indonesia.html,http://www.penerbitbinakasih.com/images/products/product_229.jpg
Tafsiran Alkitab Abad ke-21 jilid 3,Matius-Wahyu,978-602-1006-36-8,"Donald Guthrie, dkk.",779 halaman,1300 gram,Hard Cover,HVS 60,"17,5 x 24 cm", Rp. 240.000,"Inilah  buku tafsir Alkitab yang ringkas, yang diperuntukkan juga bagi warga  jemaat, sehingga gaya bahasanya lugas dan sederhana. Untuk  memutakhirkan, 80% isinya ditulis kembali oleh para ahli, sehingga makna  Alkitab untuk masa kini jadi makin jelas. Tercantum peta dan  sumber-sumber bacaan lanjutan.
(Sularso Sopater, Pendeta Emeritus GKJ, mantan dosen STT Jakarta, mantan Ketua Umum PGI).",http://www.penerbitbinakasih.com/289-buku-tafsiran-alkitab-abad-ke-21-jilid-3.html,http://www.penerbitbinakasih.com/images/products/product_289.jpg
Tafsiran Alkitab abad ke-21 Jilid 1,Kejadian - Ester,9786021006344,D.A. Carson dll,576 halaman,1050 gram,Hard Cover,60,18 x 25 cm, Rp. 220.000,,http://www.penerbitbinakasih.com/311-buku-tafsiran-alkitab-abad-ke-21-jilid-1.html,http://www.penerbitbinakasih.com/images/products/product_311.jpg
